84333	39	0.2108577	470	62.8872180	5303467	333520285	-31955.890	-31292.901
81788	36	0.1455099	455	100.1948998	8194740	821071152	-31981.756	-31292.901
83695	44	0.1641737	469	84.4293411	7066313	596604150	-31968.072	-31292.901
85473	34	0.1553963	467	85.5590499	7312988	625692305	-31972.475	-31292.901
84033	46	0.1344735	459	104.1661882	8753397	911807999	-31983.597	-31292.901
85630	37	0.1645773	458	80.6657758	6907410	557191586	-31964.357	-31292.901
82153	32	0.2588450	486	50.6768585	4163255	210980684	-31950.990	-31292.901
85432	35	0.1552488	460	88.2251373	7537249	664974827	-31975.664	-31292.901
85259	52	0.1462819	456	93.5057835	7972209	745447648	-31974.272	-31292.901
85435	35	0.1350192	456	104.6063407	8937042	934871260	-31986.387	-31292.901
84527	58	0.1294312	458	108.2108374	9146737	989776069	-31985.993	-31292.901
81477	34	0.1431816	456	101.9546762	8306961	846933518	-31984.680	-31292.901
82266	55	0.1330942	478	109.9667598	9046525	994817041	-31991.192	-31292.901
84962	37	0.1648147	471	83.8858316	7127108	597863381	-31971.326	-31292.901
82555	41	0.6407808	983	20.5960201	1700304	35019495	-31946.493	-31292.901
83377	41	0.1588588	458	87.0934431	7261590	632436875	-31972.968	-31292.901
83980	38	0.1450478	456	94.7148386	7954152	753376222	-31979.730	-31292.901
85763	19	0.5180626	801	24.4809075	2099556	51399036	-31946.354	-31292.901
85341	40	0.1422649	472	96.6602862	8249085	797358917	-31977.204	-31292.901
85318	37	0.4820097	663	26.1815034	2233753	58483011	-31948.047	-31292.901
85483	38	0.1412885	456	97.2981221	8317335	809261076	-31978.616	-31292.901
84225	55	0.1323109	458	105.3338017	8871739	934493996	-31984.037	-31292.901
84494	34	0.1807722	472	74.9550778	6333254	474709546	-31961.690	-31292.901
81633	55	0.1361198	460	106.0926960	8660665	918833298	-31984.156	-31292.901
84789	31	0.1496513	456	92.4091963	7835283	724052204	-31976.175	-31292.901
