d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	
0	0.137748	0.0951114	0.0702217	0.0546786	0.0444892	0.0370634	0.0317219	0.0281659	0.0249428	0.0224709	0.0205626	0.01875	0.0171656	0.0158376	0.014851	0.0138017	0.0132306	0.0126093	0.0121054	0.0110121	0.0105299	0.010184	0.00977528	0.00924293	0.00891052	0.00873409	0.00826018	0.00803473	0.00770073	0.00766961	0.00725869	0.00695313	0.00685437	0.00668479	0.00631267	0.00616656	0.00600334	0.00597147	0.00583075	0.00545155	0.00553792	0.00542642	0.00520486	0.0050108	0.00486484	0.00493081	0.00477862	0.00462853	0.00452701	0.00466014	0.00437634	0.00432543	0.00412876	0.00426064	0.00401013	0.00392225	0.00389913	0.00388448	0.00374902	0.00373564	0.0038663	0.00367826	0.00354035	0.0034075	0.00342061	0.0033146	0.00330211	0.00325004	0.00335561	0.00317781	0.00320501	0.00314815	0.00298547	0.00297215	0.00300014	0.00294238	0.00283791	0.00287522	0.0027894	0	
0	0.129491	0.0923332	0.0699025	0.0551747	0.0450495	0.037769	0.0324687	0.0283073	0.0252992	0.0228659	0.0206309	0.0189266	0.0174717	0.0163184	0.0150882	0.0143548	0.0133632	0.012639	0.0119224	0.0112496	0.0109081	0.010436	0.00989064	0.0095035	0.00900011	0.00870382	0.00839665	0.00820511	0.00777083	0.00776668	0.00751179	0.00707716	0.00692246	0.00667029	0.00658584	0.00630102	0.00618587	0.00595029	0.00588021	0.00580607	0.00555005	0.00547728	0.00541716	0.0051558	0.00515593	0.00488034	0.00476824	0.00480066	0.00472252	0.00475706	0.00442849	0.00436814	0.00426712	0.00416648	0.00412076	0.00404451	0.0040318	0.00394246	0.00387807	0.00370982	0.00368781	0.00365878	0.00357863	0.0035776	0.00338089	0.00347315	0.00343673	0.00330434	0.00331925	0.00324071	0.00321703	0.00312527	0.00321294	0.00306729	0.00308577	0.00300665	0.00303231	0.0029671	0.00288688	0	
0	0.132426	0.093594	0.069884	0.0547986	0.0445673	0.0376372	0.0322195	0.0284405	0.02516	0.0226308	0.0206206	0.0190636	0.0174673	0.0162054	0.0150492	0.0142009	0.01334	0.012752	0.0119245	0.0114625	0.0106764	0.0103218	0.00972564	0.0095245	0.00909944	0.00882247	0.00845371	0.00817074	0.0076899	0.0075106	0.00711559	0.00693696	0.00687065	0.0064502	0.00635851	0.00621667	0.00617041	0.00599063	0.00581696	0.00578838	0.00556521	0.0054016	0.00537114	0.00510615	0.00492817	0.00472444	0.00485138	0.00457704	0.00452545	0.00448722	0.00442441	0.0044204	0.0043771	0.00424176	0.00414051	0.0041416	0.00387356	0.00401872	0.00376811	0.00387233	0.00364541	0.00375301	0.00363512	0.00362056	0.00343727	0.00340214	0.00340616	0.00338548	0.0032954	0.00325566	0.00323184	0.00308597	0.00311724	0.00308994	0.00296027	0.00295215	0.00295563	0.00293203	0.00286821	0	
0	0.130524	0.092728	0.0698101	0.0548553	0.0447719	0.0377889	0.0325647	0.0283035	0.0253872	0.0226198	0.0206069	0.0190744	0.01759	0.0162495	0.0151792	0.0142161	0.013385	0.0126002	0.0119531	0.0112863	0.0109236	0.0103716	0.00987132	0.00946455	0.00910861	0.00890613	0.00831782	0.00807886	0.00790421	0.00757594	0.00744028	0.00701174	0.00680818	0.00671328	0.00655721	0.0063642	0.00608369	0.00597929	0.00573341	0.0055938	0.00551433	0.0054575	0.00522539	0.00522344	0.00513257	0.00507958	0.00481204	0.00467441	0.00470265	0.00461101	0.00455644	0.0043136	0.00421812	0.00433252	0.00416342	0.00400271	0.00401369	0.00388707	0.00391841	0.00372324	0.00369107	0.00363156	0.0036042	0.00358688	0.00344692	0.00333916	0.00343466	0.00341323	0.00327035	0.00322335	0.00330404	0.00318921	0.0031259	0.00304893	0.00305106	0.00301214	0.00297648	0.0028329	0.00295429	0	
0	0.123678	0.0902478	0.0692192	0.0549886	0.045169	0.0381221	0.0330201	0.0286906	0.0254338	0.0228501	0.021167	0.0192507	0.0179407	0.0166481	0.0154712	0.0143532	0.0134765	0.0129235	0.0120516	0.0115334	0.0111731	0.010486	0.0100351	0.00978853	0.00932655	0.00890267	0.00871938	0.0082347	0.00802971	0.00768053	0.00748549	0.00733802	0.00679131	0.00682144	0.00663388	0.00642508	0.00634048	0.00599226	0.00588888	0.00578823	0.00561972	0.00542829	0.00546285	0.00524975	0.00518604	0.00498778	0.00474693	0.00489184	0.00474487	0.00472356	0.0045165	0.00434122	0.00445666	0.00435424	0.00424937	0.00415926	0.00408564	0.00396888	0.00394612	0.00383188	0.00373938	0.00375722	0.00365638	0.00352394	0.00357749	0.00359156	0.0034889	0.00339559	0.0033979	0.0031529	0.00315088	0.00320807	0.00324414	0.00317516	0.00302536	0.00297931	0.00308375	0.00289915	0.00288451	0	
0	0.125721	0.0911181	0.0692272	0.0549141	0.0452406	0.0380001	0.0327863	0.0288421	0.0255349	0.0229631	0.0209989	0.0192251	0.0176929	0.0164727	0.01522	0.0144516	0.013585	0.012898	0.0120364	0.0114154	0.0109563	0.0104027	0.0100318	0.00952366	0.0092212	0.00893906	0.00838573	0.00805765	0.00782914	0.00766634	0.00764165	0.00722674	0.00691546	0.0068569	0.00659534	0.00644122	0.00620276	0.00591478	0.00590653	0.00571158	0.00570937	0.00543707	0.00526294	0.00533321	0.00518905	0.00513121	0.00480471	0.00477442	0.00488422	0.0046026	0.00443164	0.0043501	0.00426984	0.00431916	0.00411785	0.00406001	0.0040878	0.00396414	0.00393338	0.0038554	0.00376668	0.00375518	0.00364855	0.00360921	0.00347443	0.00349812	0.00339167	0.00342498	0.00339579	0.00325944	0.00318088	0.00322966	0.00310893	0.0031634	0.00311307	0.0029811	0.00297822	0.0029052	0.00282777	0	
0	0.138219	0.0952198	0.0701337	0.0546078	0.0444767	0.0373534	0.0320756	0.0282424	0.0247338	0.0222462	0.0201983	0.0185734	0.017086	0.016089	0.0150196	0.0140447	0.0132401	0.0123298	0.0117714	0.0111622	0.0106605	0.0101805	0.00989978	0.00931605	0.00888836	0.00852716	0.00837181	0.00814047	0.00762477	0.00741402	0.0071336	0.00693681	0.00680573	0.00664148	0.00634142	0.00620452	0.00599475	0.00588506	0.0057019	0.00543656	0.00542806	0.00523781	0.00515463	0.00514968	0.00506024	0.00490383	0.0048072	0.00465884	0.00453391	0.00449824	0.00433693	0.00433804	0.00423243	0.00413861	0.00410566	0.00395088	0.00397696	0.00383692	0.00371907	0.00370101	0.00368371	0.00357998	0.00361198	0.00354391	0.00355475	0.0034418	0.00326797	0.00332466	0.0030971	0.00317994	0.00304597	0.00321119	0.00305966	0.0030808	0.00306029	0.00296053	0.00281582	0.00291391	0.00286878	0	
0	0.1336	0.0936888	0.070147	0.0548077	0.0445589	0.0374342	0.0323735	0.0283084	0.0252115	0.0224869	0.0206413	0.0187737	0.0173475	0.0160393	0.0151974	0.0141045	0.0131181	0.0125373	0.0117272	0.0114363	0.0106643	0.0102032	0.00981688	0.00954075	0.00886226	0.00872159	0.00824466	0.00821326	0.00772493	0.0076669	0.00727398	0.00701732	0.00676133	0.00662561	0.00646491	0.00646411	0.0060813	0.00605396	0.00595784	0.00558257	0.00564253	0.00553918	0.00524612	0.00523816	0.004984	0.00485792	0.00484829	0.00465747	0.00457185	0.00464637	0.00436203	0.00452056	0.00412376	0.00415592	0.0039888	0.00415482	0.00395686	0.00383225	0.00379712	0.00379936	0.00360558	0.00371154	0.00350996	0.00350209	0.00356628	0.00336646	0.00339134	0.00327169	0.00328028	0.00318061	0.00324223	0.00313775	0.00311364	0.00307759	0.00295236	0.00292309	0.00298928	0.00291638	0.00285723	0	
0	0.130447	0.0927617	0.0698697	0.0549337	0.0447416	0.037624	0.0324823	0.028372	0.0251614	0.0225724	0.0205649	0.0192105	0.0174574	0.0162767	0.0153044	0.014107	0.0133104	0.0128001	0.0119864	0.0115124	0.010874	0.0102581	0.00994804	0.00940484	0.00904051	0.00881967	0.0084996	0.00806417	0.00791003	0.00760855	0.00726525	0.00715046	0.00680594	0.00677924	0.00646064	0.00640094	0.00619415	0.00602213	0.00582888	0.0057326	0.00551861	0.00535635	0.0053502	0.00517419	0.00501283	0.00497126	0.00472606	0.00480567	0.0046654	0.00451268	0.00448847	0.00436223	0.00431499	0.00431461	0.00423355	0.00396942	0.00400746	0.00385018	0.00388375	0.00392661	0.00367974	0.00372869	0.00361001	0.0034647	0.00350012	0.00342545	0.00337505	0.00340027	0.00328357	0.00315949	0.00320484	0.00319227	0.00309563	0.00301884	0.00300112	0.00303022	0.00303231	0.00293366	0.00285588	0	
0	0.133384	0.0935369	0.0695819	0.0549581	0.044728	0.0375967	0.0323417	0.028224	0.0250718	0.022647	0.020579	0.0187531	0.017302	0.0162378	0.0151632	0.0139753	0.0132796	0.0126299	0.0117819	0.0113554	0.0108154	0.0101791	0.0099254	0.00956945	0.00903336	0.00870571	0.00835796	0.00799015	0.00763057	0.00762271	0.00724875	0.00706173	0.00673666	0.00667184	0.0064544	0.00645576	0.00627552	0.00600825	0.00579754	0.00568411	0.00550352	0.00545447	0.00539948	0.0052891	0.00504096	0.00489719	0.00466468	0.00470818	0.00461817	0.0046351	0.00432198	0.00433686	0.00426295	0.00420822	0.004163	0.0041389	0.00401311	0.00375413	0.00395923	0.00376002	0.00361029	0.0036707	0.00354424	0.00346648	0.0035132	0.00343069	0.00328395	0.00323296	0.00320119	0.00323342	0.00319883	0.00317011	0.00308338	0.00312747	0.00305468	0.00303809	0.00285845	0.00285845	0.00294293	0	
0	0.131838	0.0929638	0.0697517	0.0550918	0.0447888	0.0378529	0.0325504	0.02845	0.025192	0.0224852	0.0206431	0.018843	0.0174943	0.0162557	0.0151191	0.0140277	0.0134474	0.0126213	0.0119209	0.0114637	0.010915	0.0102267	0.00972637	0.00954916	0.00898883	0.00876515	0.00837792	0.0080662	0.00785246	0.00768301	0.00730743	0.00675505	0.00698717	0.00676621	0.00642833	0.00630986	0.00601371	0.00591747	0.00586778	0.00565715	0.00563321	0.00528562	0.00512591	0.00518825	0.00497905	0.00501486	0.00487423	0.00452592	0.00449707	0.00463688	0.00450522	0.00431506	0.00424087	0.00422294	0.00403307	0.00404684	0.0038799	0.00386344	0.00392764	0.00385314	0.00374046	0.00372192	0.00370829	0.00353118	0.00350062	0.00349382	0.00334397	0.00323766	0.00332024	0.00320014	0.00314995	0.00328638	0.00317499	0.00319628	0.00300194	0.00299426	0.0029604	0.00294092	0.0028857	0	
0	0.137013	0.094623	0.0704877	0.0548177	0.0444981	0.0370428	0.0319723	0.0279704	0.0250405	0.0224421	0.0207282	0.0185569	0.0171736	0.0160912	0.014868	0.0139791	0.0132705	0.0125023	0.0119157	0.0111835	0.0105719	0.0100814	0.00972109	0.00935447	0.00891951	0.00849202	0.00830155	0.00796246	0.00770019	0.00750796	0.00713599	0.00709097	0.00684189	0.00655489	0.00650698	0.00615473	0.00605901	0.00598414	0.0058195	0.00575641	0.00553153	0.00540179	0.00516687	0.00500023	0.00506068	0.00485663	0.00481231	0.00469408	0.00455702	0.00454654	0.0044696	0.00423099	0.00419017	0.00412687	0.00401509	0.00400788	0.00393228	0.00377046	0.00377203	0.00368171	0.00372371	0.00363924	0.00362162	0.00344741	0.00346408	0.00345065	0.0033596	0.00321712	0.00340976	0.00318805	0.00316249	0.00315561	0.0030985	0.00296967	0.00302154	0.00300822	0.00286649	0.00284704	0.00283059	0	
0	0.142533	0.0964055	0.0704743	0.0548703	0.0443334	0.0369244	0.0316336	0.0275896	0.0245821	0.0220063	0.0201279	0.0183571	0.0170578	0.0158437	0.0147092	0.0138026	0.0129266	0.0122287	0.0116621	0.0110322	0.0105446	0.0101584	0.00932994	0.00930135	0.00891912	0.00859378	0.00829275	0.00807614	0.00776315	0.00735681	0.00712032	0.00692487	0.00672495	0.00664327	0.00625212	0.00619903	0.00607872	0.00587475	0.00573474	0.00550464	0.00541029	0.00536766	0.00520291	0.00506392	0.0048074	0.0049414	0.00480419	0.00463042	0.00453029	0.00441256	0.00432813	0.00433908	0.00419986	0.00410539	0.00409365	0.00399809	0.00371367	0.00390159	0.00374424	0.00367054	0.00356965	0.00355821	0.00351354	0.00342938	0.00333687	0.00333572	0.00329416	0.00324901	0.00320903	0.00307724	0.00315124	0.00313259	0.00300634	0.0030414	0.00298927	0.00295192	0.0029085	0.00278177	0.00270455	0	
0	0.129075	0.0923319	0.0695988	0.0548379	0.0448921	0.0378776	0.0325272	0.0283011	0.0252964	0.0228559	0.02073	0.019152	0.0176102	0.0163805	0.0153696	0.0142625	0.0133803	0.0127556	0.0119814	0.0113905	0.0108865	0.0104798	0.00985914	0.00934365	0.00925196	0.00872142	0.00849897	0.00822456	0.00786018	0.00771309	0.00736689	0.00717077	0.00691282	0.00668516	0.00661795	0.00628712	0.0060286	0.00602146	0.00587348	0.00559139	0.00557837	0.00546367	0.00513664	0.00522096	0.00509636	0.00495687	0.00487903	0.00472358	0.00459716	0.00466433	0.00450481	0.00447605	0.00436534	0.00416757	0.0042082	0.00401821	0.00392742	0.00407666	0.00381205	0.00377405	0.00378452	0.00373641	0.00359145	0.00358586	0.00359414	0.00351099	0.00343669	0.00341571	0.00325085	0.00321771	0.00324444	0.003126	0.00311063	0.00306037	0.00298058	0.00298081	0.00292241	0.00297529	0.00282615	0	
0	0.138941	0.0953919	0.0703825	0.0548522	0.0446174	0.0368111	0.0319887	0.0279828	0.0246927	0.0222446	0.020416	0.0184356	0.0173245	0.0157354	0.0149425	0.0137811	0.0132859	0.0123676	0.0118136	0.0111752	0.0107049	0.0101852	0.00969121	0.00915658	0.0089877	0.0085932	0.00825726	0.00798153	0.00765835	0.0073904	0.00708237	0.00699121	0.00673855	0.00665	0.00651933	0.00621588	0.00608764	0.00586812	0.00583122	0.00571749	0.00554971	0.00533248	0.00522003	0.0051408	0.00505835	0.004932	0.00471475	0.00462249	0.00440401	0.00448068	0.00438816	0.0043343	0.00424348	0.00412636	0.00407357	0.00386319	0.00389607	0.00385682	0.0037746	0.00372616	0.00365861	0.00351554	0.00360718	0.0033699	0.00336784	0.0033182	0.00330323	0.00318136	0.0033255	0.00316144	0.00311676	0.00319455	0.00310158	0.00294246	0.00310418	0.00301943	0.00286672	0.00277888	0.00283843	0	
0	0.130541	0.0926586	0.0698103	0.0548187	0.0450092	0.0376286	0.0324461	0.0285747	0.0254659	0.0226311	0.0208295	0.019011	0.0174248	0.0161446	0.0150829	0.0142054	0.0133732	0.0125405	0.011885	0.0113408	0.0107733	0.0103548	0.010131	0.00964523	0.00921499	0.00881989	0.00846585	0.00802983	0.00781402	0.00753669	0.00725956	0.00705044	0.00693622	0.00672733	0.00650086	0.00635887	0.00614088	0.00603406	0.00565488	0.00560739	0.00535711	0.00541857	0.00524939	0.0052165	0.00507999	0.00497335	0.00483906	0.00474129	0.00454539	0.00453474	0.00446016	0.00431981	0.00429174	0.00426723	0.00423807	0.0041888	0.00412864	0.00397726	0.00380797	0.00374892	0.00363228	0.00360184	0.00353732	0.00354688	0.00345693	0.00345954	0.00339387	0.00336567	0.00333492	0.00327414	0.00319076	0.00319823	0.00312353	0.00303458	0.0031359	0.00300673	0.00300863	0.00288041	0.00295552	0	
