80664	68	0.7138414	57581	-32016.340	-31292.901
81950	56	0.6998055	57349	-32016.047	-31292.901
81504	68	0.6847427	55809	-32016.070	-31292.901
80884	107	0.7068124	57169	-32016.000	-31292.901
80351	67	0.7159415	57526	-32011.845	-31292.901
81254	82	0.7126048	57901	-32016.407	-31292.901
83123	77	0.6868764	57095	-32016.151	-31292.901
82030	114	0.7182053	58914	-32016.045	-31292.901
83296	65	0.6894098	57425	-32018.203	-31292.901
82274	104	0.7133391	58689	-32016.795	-31292.901
84242	70	0.6904921	58168	-32015.965	-31292.901
82576	97	0.6869140	56722	-32015.696	-31292.901
83884	64	0.6861824	57559	-32013.182	-31292.901
84123	107	0.6856274	57677	-32013.192	-31292.901
80869	67	0.7220532	58391	-32015.655	-31292.901
80813	65	0.7297434	58972	-32015.419	-31292.901
80835	76	0.7133175	57661	-32015.034	-31292.901
83437	60	0.6932131	57839	-32015.245	-31292.901
80861	97	0.7164621	57933	-32016.002	-31292.901
82829	68	0.6968547	57719	-32013.073	-31292.901
81347	62	0.7188442	58475	-32013.884	-31292.901
80650	61	0.7267481	58612	-32013.603	-31292.901
80414	109	0.7141130	57424	-32013.696	-31292.901
83669	83	0.7006889	58625	-32018.012	-31292.901
80867	67	0.7162280	57919	-32014.956	-31292.901
