d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	
0	0.054924	0.046038	0.040805	0.0366671	0.0335623	0.0313596	0.02979	0.0279225	0.0265031	0.0248419	0.023526	0.0222178	0.0215119	0.0203112	0.0194336	0.0185429	0.0175842	0.017022	0.0166203	0.0157169	0.0149272	0.0146264	0.0139952	0.0136782	0.0130804	0.0126539	0.0122981	0.011894	0.011396	0.0113623	0.0108971	0.0105551	0.0100465	0.00992493	0.00982593	0.00938466	0.00912735	0.00888437	0.00886354	0.00832018	0.00836433	0.00806685	0.00787732	0.0078009	0.00767112	0.00744907	0.00708194	0.00715488	0.00702666	0.00694943	0.0065544	0.00654634	0.00653605	0.0061689	0.00623621	0.00615573	0.00591135	0.00586216	0.00555003	0.00566829	0.00565434	0.00547984	0.00534056	0.0052555	0.00528141	0.00511764	0.00516164	0.00493132	0.0048998	0.0049023	0.00484765	0.00479329	0.00480723	0.00440266	0.00445906	0.00437426	0.00447289	0.00428498	0.00426003	0	
0	0.0519954	0.0448625	0.0400339	0.0368118	0.0335248	0.0317096	0.0296071	0.0280271	0.0263545	0.0249428	0.0237801	0.0223537	0.0214889	0.020388	0.0194298	0.0185746	0.0178302	0.0172547	0.0164799	0.0159558	0.0152428	0.0147887	0.0141647	0.013356	0.0132164	0.0128292	0.0124451	0.0117994	0.0114649	0.0113874	0.0108797	0.0105559	0.010287	0.00976707	0.00993866	0.00950002	0.00923048	0.00894171	0.0088727	0.00873683	0.00842988	0.00824427	0.0079597	0.00782434	0.00769264	0.00725281	0.00729967	0.00717955	0.00695517	0.00687594	0.0066725	0.00652189	0.00650945	0.00639202	0.00625934	0.00607442	0.00602297	0.00586876	0.00576805	0.00581675	0.00566555	0.00559814	0.00534898	0.0052191	0.00521812	0.00509449	0.0052117	0.00506362	0.00498224	0.00490651	0.00481723	0.00476784	0.0048258	0.00460714	0.00445164	0.00453796	0.00437818	0.0045454	0.00433044	0	
0	0.0515684	0.0451071	0.0403462	0.0372201	0.0343965	0.031999	0.0299622	0.0281763	0.0262587	0.0252239	0.0236252	0.0227072	0.0213377	0.0203169	0.0195011	0.0186635	0.0178345	0.0172372	0.0163296	0.0161539	0.0153765	0.0147185	0.014018	0.0133937	0.0132274	0.0128348	0.0124733	0.0118143	0.0113553	0.0111736	0.0109974	0.010592	0.0103224	0.00987331	0.00960999	0.00948044	0.00898654	0.00884553	0.00873932	0.0084672	0.00834456	0.00796157	0.00775562	0.00786733	0.00758434	0.0073653	0.00723565	0.00715148	0.00698222	0.00676805	0.00664967	0.00658585	0.00653083	0.00640706	0.00622083	0.00587456	0.00592381	0.00594541	0.00579073	0.00583532	0.00556109	0.0055132	0.00542561	0.00534291	0.0052001	0.00512133	0.00494919	0.00505171	0.00491141	0.00500765	0.00468997	0.00465505	0.00471325	0.00466805	0.00468106	0.00454064	0.00447705	0.0042999	0.00414602	0	
0	0.0544745	0.0463924	0.041236	0.0376836	0.0339789	0.0317642	0.0300216	0.0278776	0.0264542	0.0250769	0.0239622	0.0226751	0.0213999	0.0205714	0.0193731	0.0185008	0.0176124	0.0168199	0.0163698	0.0159207	0.0150673	0.0142672	0.0139677	0.0133861	0.012962	0.0127111	0.0124928	0.0117225	0.0113718	0.0112783	0.0107321	0.0103518	0.0103734	0.0098688	0.00949842	0.00940964	0.00910399	0.00880206	0.00869944	0.0084144	0.0084285	0.00783497	0.00782537	0.00763768	0.00745083	0.00736392	0.00734565	0.00705021	0.00684644	0.00690425	0.0065975	0.00640425	0.00658986	0.00628579	0.0060732	0.00593625	0.00595248	0.00563288	0.00568692	0.00555627	0.00555658	0.00531094	0.0052277	0.00513806	0.00511707	0.0050998	0.00496932	0.00509244	0.0049764	0.00479131	0.00473949	0.00459852	0.00467193	0.00457896	0.00449364	0.00454575	0.00438612	0.00437516	0.00428129	0	
0	0.0508533	0.0438061	0.0394282	0.0362535	0.0335966	0.0313429	0.0296595	0.0277052	0.0260525	0.0250468	0.0236033	0.0224614	0.0216591	0.020484	0.0196867	0.0189765	0.018099	0.0172247	0.0165815	0.0160872	0.0152971	0.0147099	0.0141411	0.0136693	0.0131401	0.0129745	0.0124336	0.011927	0.0118057	0.0112113	0.0110047	0.0106339	0.0103627	0.0100867	0.00965364	0.00950777	0.00928249	0.00923816	0.0088068	0.00838409	0.00842661	0.00835235	0.00805168	0.00795339	0.00757706	0.00746848	0.00756647	0.00716986	0.00704814	0.00687781	0.00692923	0.00659472	0.0064431	0.00644773	0.00627245	0.00626342	0.00598831	0.00596291	0.00574043	0.00577189	0.00574402	0.00560733	0.00560745	0.00546581	0.00530188	0.00522064	0.0052381	0.00510338	0.00497341	0.00500073	0.00467382	0.00472318	0.00475148	0.00459259	0.00443784	0.00452817	0.00429501	0.00441504	0.00453536	0	
0	0.0553615	0.0464298	0.0408199	0.0369799	0.0339019	0.031749	0.0296128	0.0276264	0.0265914	0.0250323	0.0237434	0.0224013	0.0212119	0.0204358	0.0194008	0.0186585	0.0176985	0.0170442	0.0162773	0.0158903	0.0151269	0.0144394	0.0140739	0.0134287	0.0130608	0.0125269	0.0120842	0.0116806	0.0113558	0.0109454	0.0108174	0.0104678	0.0102737	0.00973802	0.00973551	0.00925358	0.00919919	0.00891387	0.00874822	0.00831263	0.00831309	0.00819111	0.00793263	0.00758459	0.00761276	0.00724009	0.00738546	0.00705112	0.00700813	0.00660897	0.00661401	0.00640928	0.00638956	0.00617551	0.00612556	0.0059094	0.00592387	0.0057371	0.00576589	0.00581904	0.00561222	0.00553849	0.00527516	0.0053416	0.00514788	0.00523548	0.00511555	0.00502983	0.00487916	0.00499319	0.00496334	0.00463996	0.0046689	0.00470514	0.00450551	0.00448301	0.00436796	0.00434139	0.00430973	0	
0	0.0583709	0.0474946	0.0410378	0.0370322	0.0339291	0.0314548	0.029476	0.0279951	0.0258886	0.0249417	0.0234381	0.0222302	0.0211917	0.0202922	0.0190991	0.0184967	0.0175743	0.0170823	0.0160581	0.0159724	0.0151957	0.0143791	0.0139127	0.0135873	0.013334	0.0126385	0.0121151	0.0115812	0.0113315	0.0111157	0.0106454	0.0103169	0.0101624	0.00967747	0.0095817	0.0093716	0.00907728	0.00883637	0.00868735	0.0084655	0.00818206	0.00804389	0.00783562	0.00757834	0.0074322	0.00721219	0.00724625	0.00708417	0.00681223	0.00664868	0.00658465	0.00637523	0.00634158	0.00626213	0.00631593	0.00599305	0.00593243	0.00571812	0.00572693	0.00579182	0.00543067	0.00555102	0.00527791	0.00527938	0.00510122	0.00510754	0.00505473	0.00492018	0.00489348	0.00485152	0.00460755	0.00472892	0.004619	0.00447703	0.00448455	0.00443145	0.00436548	0.00444548	0.00418669	0	
0	0.0541462	0.0467371	0.0417532	0.037721	0.034527	0.032009	0.0300358	0.0282989	0.0265578	0.0254867	0.0235761	0.0228719	0.021585	0.0204493	0.0195817	0.0185716	0.017713	0.0171926	0.0164995	0.0154784	0.0150297	0.0145381	0.0138616	0.0134577	0.0133418	0.0126857	0.0121008	0.0117308	0.0112839	0.010952	0.0106006	0.0102724	0.0102667	0.00991089	0.00967856	0.00938951	0.0089567	0.00883751	0.008684	0.00848723	0.00829222	0.00798453	0.0076774	0.00747573	0.00749147	0.00739959	0.0072338	0.00683403	0.00674528	0.00664334	0.00649572	0.006378	0.00616749	0.00620369	0.0063527	0.00594018	0.00572016	0.00573657	0.0055094	0.00546222	0.00560844	0.00548666	0.00527731	0.0051767	0.00516806	0.00506898	0.00498165	0.00500395	0.00480162	0.00489944	0.00468927	0.00447863	0.00459025	0.004331	0.00437855	0.00441703	0.00442857	0.00434382	0.00426855	0	
0	0.0519884	0.0448811	0.0412038	0.0372647	0.0339856	0.0318078	0.0299567	0.0280196	0.0264932	0.0248629	0.0239412	0.0226088	0.0213583	0.0203802	0.0196105	0.0187325	0.0178564	0.0172719	0.016422	0.0154245	0.0150907	0.0146263	0.0141271	0.0136411	0.0131024	0.0127282	0.0123353	0.0119239	0.0116036	0.011231	0.0107835	0.0105973	0.0102367	0.00988417	0.00963012	0.00919559	0.00936251	0.00888805	0.0087389	0.00866558	0.00831197	0.0081027	0.0080808	0.00758232	0.00741456	0.00741513	0.00712623	0.0070996	0.00690258	0.00684082	0.00683846	0.0065497	0.00644874	0.00633051	0.00611409	0.00607635	0.00588419	0.00577672	0.00570768	0.00550121	0.00569561	0.00559072	0.00535572	0.00528269	0.005387	0.00513195	0.00507244	0.00500421	0.00504396	0.00475707	0.00471744	0.00478193	0.00481831	0.00462424	0.00445082	0.00447523	0.0047112	0.00430278	0.00423012	0	
0	0.0538975	0.0462336	0.0407837	0.0370044	0.0343509	0.0315424	0.0300141	0.0279613	0.0264243	0.0252348	0.0241054	0.0223743	0.0214917	0.0205414	0.0197057	0.0186814	0.0178085	0.0170273	0.0163438	0.0159127	0.0150439	0.0146707	0.0140054	0.0136416	0.0131737	0.0127506	0.012157	0.0116335	0.0114379	0.0112022	0.0107793	0.0103129	0.0102437	0.00994981	0.00958348	0.00942674	0.00907781	0.0086987	0.00859727	0.00834256	0.00815651	0.00798675	0.00788846	0.00767506	0.00745718	0.00745169	0.00728272	0.006847	0.00697828	0.00672991	0.00657291	0.00630619	0.00636132	0.0063196	0.00613959	0.00606293	0.00589725	0.005899	0.00562648	0.00581859	0.00540688	0.00546307	0.00528816	0.00523219	0.00532977	0.00524601	0.00510482	0.00490962	0.00506994	0.00499298	0.00475202	0.00472188	0.00459185	0.00450036	0.00445022	0.00437861	0.0042403	0.00438932	0.0043065	0	
0	0.0585058	0.0482466	0.0418723	0.0375867	0.0346126	0.0321006	0.0297504	0.0281041	0.026514	0.024805	0.023779	0.0223764	0.0212801	0.0202547	0.0195498	0.0186092	0.0178167	0.0168468	0.016229	0.0157869	0.0150047	0.0141682	0.0140767	0.0134045	0.0130216	0.0124029	0.0120915	0.0115778	0.0113248	0.0111342	0.0104512	0.0100817	0.00994629	0.0096982	0.00940059	0.00906082	0.00915484	0.00868646	0.00843654	0.00825542	0.00812322	0.0079349	0.00797422	0.0073542	0.00730112	0.00718868	0.00691259	0.00672573	0.00662667	0.00682872	0.00654096	0.00638269	0.00629426	0.00616111	0.00603707	0.00605377	0.00592607	0.00561589	0.00558181	0.00561123	0.00536293	0.00528946	0.0053374	0.00512325	0.00518937	0.00505407	0.00499382	0.00485814	0.00503443	0.00457656	0.00478181	0.00469572	0.00453044	0.00451244	0.00432136	0.00439052	0.00440132	0.00426345	0.00410287	0	
0	0.0515399	0.0446991	0.0400344	0.0362748	0.0343005	0.0319642	0.0291839	0.0282567	0.0266639	0.0252815	0.0236208	0.022564	0.0216086	0.0203448	0.0196493	0.0189152	0.0179238	0.0170164	0.0163615	0.0155855	0.0154629	0.0145695	0.0142444	0.0136454	0.0132037	0.0130504	0.0121089	0.0120663	0.0115294	0.0110997	0.010941	0.010525	0.0102457	0.0100664	0.0097337	0.00947114	0.00905896	0.00905324	0.00881078	0.00852371	0.00843075	0.00808067	0.00788643	0.00780915	0.00756964	0.00744816	0.00730621	0.00712398	0.00693518	0.00667232	0.00670792	0.00650645	0.00637758	0.00652118	0.00616611	0.00611353	0.00602847	0.0056819	0.0058667	0.00546526	0.00557861	0.00545971	0.00546603	0.00555033	0.00526573	0.00512112	0.00517843	0.00519429	0.00493826	0.0049671	0.0049494	0.00489692	0.00461477	0.00488835	0.00469215	0.00428615	0.00439264	0.00443347	0.00422961	0	
0	0.0514205	0.0447265	0.0401866	0.0368987	0.0338873	0.0316281	0.0296382	0.0279937	0.0266567	0.0248805	0.0237022	0.0226293	0.0214502	0.020368	0.0194137	0.0190964	0.017991	0.0172406	0.0162963	0.0158565	0.0153714	0.0149714	0.0142228	0.0135696	0.0133572	0.0127394	0.0123798	0.0120833	0.0117638	0.0111683	0.0108411	0.010608	0.0101951	0.00977063	0.00962985	0.00939657	0.00893359	0.0086518	0.00885535	0.00820461	0.00832391	0.00790174	0.00778214	0.00785601	0.00757265	0.00736126	0.0072893	0.00733202	0.00691973	0.00674994	0.00686779	0.00659046	0.00644715	0.00645091	0.00635588	0.00608961	0.00608037	0.00595349	0.00579822	0.00565306	0.00557169	0.00560294	0.00549475	0.00553852	0.00527057	0.00512214	0.00512943	0.0050407	0.00491854	0.00494954	0.0048468	0.00481882	0.00464662	0.00465062	0.004488	0.00457667	0.00449953	0.00445528	0.00432853	0	
0	0.0549271	0.0464784	0.0410918	0.0379381	0.0342892	0.0316095	0.029863	0.0278906	0.0265612	0.0251597	0.023735	0.0225552	0.0214909	0.0207523	0.0192463	0.0185736	0.0177288	0.0170606	0.016377	0.0157993	0.0151886	0.0144609	0.0140391	0.0133981	0.0131946	0.0126168	0.0121276	0.0118239	0.0113604	0.0109975	0.0105988	0.0104995	0.0101484	0.00998053	0.00924791	0.00903455	0.00916043	0.00868869	0.00868412	0.00821879	0.00826233	0.00790577	0.00788962	0.0075365	0.00719236	0.00743307	0.00732742	0.00701811	0.0067666	0.0066803	0.0066562	0.00648052	0.00635853	0.00613904	0.00619312	0.00589243	0.00592374	0.00586898	0.00571561	0.00561712	0.00560193	0.00546349	0.00527594	0.00526809	0.00514883	0.00518423	0.00497014	0.00511755	0.00484734	0.0048293	0.00483941	0.00467395	0.00461604	0.00449978	0.00444002	0.00465614	0.00434274	0.00439329	0.00437756	0	
0	0.0563248	0.0468666	0.0414322	0.037057	0.0344799	0.0322696	0.0299251	0.0279264	0.026238	0.0249481	0.0236704	0.0223296	0.0212671	0.0202938	0.0195052	0.0185356	0.0180905	0.016939	0.0162184	0.0157395	0.0152181	0.0145713	0.013729	0.0137842	0.0130614	0.0123967	0.0120431	0.0117071	0.0115714	0.011	0.0107401	0.010261	0.0100378	0.00988319	0.00957715	0.00934868	0.00914522	0.00871129	0.00849014	0.00826958	0.00804388	0.0079944	0.00777118	0.0076743	0.0075456	0.00740795	0.00716972	0.00692521	0.00695448	0.00662838	0.00667005	0.00647068	0.00622473	0.00622599	0.00612202	0.00621849	0.00569926	0.00576978	0.00574042	0.00554636	0.00538265	0.00538815	0.00555072	0.00513154	0.00520511	0.0051539	0.00513438	0.00481495	0.00472748	0.00473735	0.00463157	0.00463375	0.00459777	0.00469519	0.00456767	0.00440636	0.0043325	0.00426088	0.00424185	0	
0	0.0519617	0.0449593	0.0404259	0.0367877	0.0338138	0.0317339	0.0297014	0.0275971	0.0263694	0.0246831	0.0237673	0.0226827	0.0214559	0.0208313	0.0194669	0.0186119	0.0176924	0.0170422	0.0163203	0.0159761	0.0153176	0.014445	0.0142054	0.013962	0.013097	0.0130074	0.0124172	0.0120117	0.0118794	0.0111352	0.0108358	0.010474	0.010129	0.00987257	0.00967217	0.00944251	0.00917182	0.00907653	0.00883033	0.00850913	0.00846225	0.00815326	0.00803547	0.00769967	0.00756241	0.0073522	0.00713032	0.00692266	0.00687888	0.00692874	0.00695415	0.00659466	0.00654524	0.00638981	0.00619153	0.0062909	0.00600959	0.00582637	0.00579499	0.0056611	0.00558644	0.0054935	0.00521353	0.00519427	0.00516385	0.00536871	0.00504601	0.00508245	0.00511354	0.00488609	0.00485119	0.00461637	0.00477417	0.00465979	0.00460314	0.00450382	0.00438488	0.00443879	0.00426309	0	
